"I'm giving away the gun I featured in my warning to Antifa Terrorists! This is the same gun that TRIGGERED the Fake News Media all across America and got me banned by Big Tech... And it’s the same type of gun the hate America gun-grabbers in DC would love to BAN if they ever get the votes. Valued at! Someone has to win it ... might as well be you! Click Below and Enter to Win -Marjorie Greene",0,1,0,0
"Hearing from a solid source that DC police were being urged to ticket or arrest Trump supporters at yesterday’s rally for minor infractions to advance the fairytale that Trump supporters are the violent ones not the ANTIFA/BLM terrorists.",0,0,1,0
"The Washington Post which celebrates Black Lives Matter downplays Antifa and dismisses threats against Josh Hawley doesn’t like the way conservative hosts forcefully and unconditionally condemned the breach of the Capitol Building cherry-picking comments and all the rest. Meanwhile it and their ilk claim they support unity and peace.  They provoke and fuel frustration anger and hate. And it’s clear this morning that the media will continue to do so no matter what.",0,1,0,0
Instagram said this violated their community standards. It’s a video of ANTIFA and BLM harassing a Trump supporter in DC!,0,1,0,0
"I don’t approve of storming the Capitol but isn’t it a fact that if Antifa and BLM did it the media would be in raptures about the passionate demonstration of commitment to racial justice?",0,1,0,0
ANTIFA and BLM are racist terror groups. They worship violence and destruction and they welcome racists and fascists in their ranks. They’re filth and their parents are likely horrified that they spawned such degenerates and losers.,0,0,1,0
ANTIFA and BLM are violent domestic terrorist organizations.,0,0,1,0
"ANTIFA & BLM are racist terror groups. They attack in packs because they’re chumps, cowards, and gold medal winning wusses who cry to their mommies when they’re confronted by real men. I’ve seen them up close - they’re sorry looking losers whose families are embarrassed by them.",0,0,1,0
"ANTIFA and BLM are ultra-violent domestic terrorist organizations that exist solely to bring totalitarianism to the US. They worship violence and they advocate for racism and fascism. They’re living breathing human filth.",0,0,1,0
"The Proud Boys are absolutely demolishing the rabid ANTIFA terrorists in DC right now. Innocent women and children are being attacked in broad daylight by ANTIFA terrorists in the streets of DC. That being said as far as I’m concerned the Proud Boys are doing what the DC police should be doing to ANTIFA but aren’t doing. PROTECTING INNOCENT CIVILIANS AND UPHOLDING LAW AND ORDER",1,0,0,0
"ANTIFA and BLM are ultra-violent domestic terrorist organizations that exist solely to bring totalitarianism to the US. They worship violence and they advocate for racism and fascism. They’re living breathing human filth.",0,0,1,0
All the people arrested at and in the antifa autonomous zone this week had their charges immediately dropped by the district attorney Mike Schmidt.,0,0,0,1
