Dial PROUD BOYS up to your next community meeting that might be overtaken by Black LICE Matter. Proud Boys don't blink when stared down by these CREEPS from BLM.,0,0,1,0
I love these guys. Proud Boys don't back down when the scum from Black LICE MATTER disrupts their events. Our side needs more fighters like this.,0,0,1,0
Contact local Proud Boys chapter. They are the only ones who will stand up to the scum bags from Antifa and Black LICE Matter.,0,0,1,0
Proud Boys presence made it a safe event. They are the antidote to the disease of Black LICE Matter. THANK YOU PROUD BOYS!!!,0,0,1,0
"Booker T Washington knew even in his time the race hucksters among us-Black Lice Matter Democrat Party white liberals and critical race theory garbage peddlers.",0,0,1,0
"Relatively quiet weekend in Chicago. Only 47 shot leaving dead including a yr old and yr old. Total for 5 straight weekends NOT WEEKS shot leaving  dead. None shot by police and no Black LICE Matters sightings.",0,0,1,0
Black LICE Matter scumbags burn US flags and burn down cities without arrest. Now Enrique arrested for burning a piece of crap BLM flag? Where is the equal justice? No justice? No peace.,0,0,1,0
The only voter suppression that occurs in the United States is that of LEGAL VOTERS whose votes are negated with each ILLEGAL vote cast. President Trump,0,1,0,0
Right. OUR speech isn't respected. Why should theirs be? Piss on Black LICE Matters.,0,0,1,0
Remember this? Law enforcement went from being depicted on the big screen as heroes to being falsely framed as blood thirsty killer by the scumbags from Black LICE Matter. Good read.,0,0,1,0
"In five Dallas police officers were murdered by a creep supporting Black LICE Matter. Roger Goodell denied Dallas Cowboys request to wear a decal on helmets honoring their sacrifice. Now he's letting players honor criminals fatally shot by police. This is disgusting and unacceptable. He needs to explain why he denied Jerry Jones request."0,1,0,0
"We haven’t heard from one professional athlete haven’t heard from Black LICE Matter or any other systemic racism sloganeering goon about this death of a black infant sleeping in a bed when a bullet ripped thru his head. NO DOUBT it’s a black perp. This kid doesn’t serve as a means to an end end however. CULTURAL ROT is systemic in the black UNDERCLASS community racism is NOT. Why isn’t CNN reporting?"0,1,0,0
"Isn't it interesting that nobody shows up to counter Black LICE Matter/ANTIFA disturbances but they always show up to cause trouble at other people's right to peaceful protest. Weather you agree with Proud Boys or not it is reassuring to see them not afraid to engage the assholes from BLM and assert their own RIGHTS under the US Constitution. Everyone else on the right is afraid.",1,0,0,0
"Until white folks realize that the racist movement of Black LICE Matters has declared war on them these beat downs will continue. Arm yourselves and when they attack be prepared to use deadly force to defend yourself. You have the right to do so. BLM wagers that you won’t. Surprise them.",1,0,0,0
"This is out of control and is at a real deadly and dangerous level. The KKK another angry mob did this to intimidate blacks. Now Black LICE Matter is doing it to whites. I won't tolerate this harassment. I won't run. I will stand and defend myself and not only with my fists.",1,0,0,0
"We’re now told that Black Lice Matter is about police brutality. Really? In 2018 there were black homicides mainly perpetrated by black suspects. In police killed NINE black suspects. That is 0.1% of ALL blacks killed by homicide. Means Black LICE Matter is burning cities rioting for 0.1% of ALL black people killed. That means 99.99% of blacks killed in street violence don’t matter.",0,1,0,0
"The true RACISTS hide behind the Marxist banner Black LICE Matters the KLAN WITH A TAN. And that goes for the white supporters too. Mike Ditka is right on this. Why stay in a country as terrible as the US if you really believe that. GET LOST and take your fellow insurrectionists with you. You won’t be missed and we will be a better country without you.",0,1,0,0
"11 yr old shot and killed at a ""Stop The Violence"" event. Seriously. Black LICE Matter silent because it's not police related.",0,1,0,0
"Amen sir. My prayers are with you. Rips my heart out. Why I call them Black LICE Matter. They are vermin human scum.",0,0,1,0
The racist buffoons from Black LICE Matters have been disconnected from reality ever since they concocted the lie about hands up don't shoot. They need to be told to get lost. Go to Chicago and stop the Black on black killing.0,0,1,0
White folks of all demographics are tired of getting poked in the eye and falsely smeared as racist by the STREET TURDS of Black LICE Matter. The Empire is striking back.,0,0,1,0
And this scum Black LICE Matter doesn't give a damn. Neither does the Democrat Party. They see blacks as a utility only toward political power.,0,1,0,0
Cool story and video. Black LICE Matter would complain that the cop used her foot to keep control of this jerk on the ground. They like finding a way to defend criminals.,0,0,1,0
There is a reason that Black “LICE” Matters is called the KLAN WITH A TAN. The founders of communism were avowed racists and so is BLM. Anybody who supports BLM is A STEALTH RACIST. That includes George Soros.,0,1,0,0
Here is all that Dallas Cowboys owner Jerry Jones asked approval for on players helmets to honor 5 officers killed in the line of duty by Black LICE Matters. Goodell denied it. Goodell is a certified POS.,0,0,1,0
The story here is profound. This 11 year old prayed to not die by street violence as a 7 year old. Black LICE Matters did nothing to protect her. No police officer killed her so they don't give a damn. Rotten BASTARDS.,0,0,1,0
"When I first saw this scene I thought it was a picture from inside Afghanistan or Beirut even. This is what Black LICE Matter and PANTIFA are doing to American cities. CNN calls it peaceful protest. We call it rioting.",0,0,1,0
I refuse to die by being beaten to death by the dangerous deadly mobs of panty-fa(Antifa) or Black LICE Matter..,0,0,1,0
SF pitcher Coondrod is a man of COURAGE and PRINCIPLE. He STANDS for something while his teammates are on their knees prostituting themselves to Black LICE Matters.,0,0,1,0
This is STUPID. It will make Black LICE Matter the largest spreaders of COVID. Blacks already have higher rates of COVID. Now they will have even more.,0,1,0,0
Black street violence in ghettos all across America is at a crisis level yet all Democrats continue to whistle past the graveyard and distract with fear mongering about COVID and books coming out containing lies about Trump. Where is Black LICE Matter?,0,1,0,0
All these Progressive mayors are having an epiphany about these animals from PANTIFA and Black LICE Matters. They encouraged them early on and gave them legitimacy. Now they can’t control the monsters they created and want help. You own this Bowser. YOU deal with it. Make her say BLUE LIVES MATTER.,0,0,1,0
Black LICE Matter are NOT protestors. They are an angry mob who threaten and intimidate. These bullies need their comeuppance. To bad a Patriot group wasn't in the restaurant. There would have been a different outcome.,1,0,0,0
Pro police groups and Trump supporters have a constitutionally protected right to rally. No looting or rioting occurs. Then Black LICE Matter shows up to agitate. Gratifying to see pro police groups not back down to the antagonists.,0,1,0,0
Most of those shot and killed are blacks killed by other blacks. Where is Black LICE Matters? They don't give a damn about these black lives. BLM=human waste.,0,0,1,0
