"This tweet was an insurance policy. The evil forces behind this blackmail scheme of child rape & murder need to know that others have encryption key. I have procedure in place if I die in near term or any member of my family is harmed or threatened key will be released by many."0,1,0,0
"Let me get this straight. Chip Roy reportedly seeks to require would-be members of the House in 6 battleground states to endorse the violations of Article II, Section 1, Clause 2 of the federal constitution respecting the selection of electors under the electoral college as a condition of them being sworn-in? Shocking blackmail.  The constitutional conservatives must fight this!",0,1,0,0
"I have no idea extent of blackmail scheme of raping & killing children but given the number of agencies involved, the hundreds of thousands of missing children, & the otherwise inexplicable actions of many powerful officials, celebrities, & business leaders, I fear the worst.",0,1,0,0
"Many issues in our world may be tied to blackmail scheme I described tonight, including bizarre behavior of officials & judges in recent election. @realDonaldTrump must appoint special prosecutor to thoroughly investigate. We need answers. We must investigate. For the children."0,1,0,0
Jeffrey Epstein used this same blackmail scheme of child rape & child murder to either further his own interests or those of any intelligence agency with whom he worked. ALL who flew on his private jet or visited his island must be IMMEDIATELY interrogated & brought to justice. President Trump must act quickly & decisively.,0,1,0,0
I believe Chief Justice John Roberts & a multitude of powerful individuals worldwide are being blackmailed in a horrendous scheme involving rape & murder of children captured on videotape. I have the key to the files containing the videos. I have also shared this information.,0,1,0,0
"The blackmail targets are approached with a gun a child & a camera. The target is ordered to rape the child on video. The target is then ordered to shoot the child on video. The target is then owned & controlled by the blackmailers until blackmail evidence loses its value.",0,1,0,0
This blackmail scheme is conducted by members of 10 of world’s most well-known & “elite” intelligence agencies. One of those groups was hacked by a group known as Lizard Squad. The blackmail files of rape & murder were obtained by this group & copy was provided to Isaac Kappy. Kappy was murderered.0,1,0,0
Twitter is running a blackmail operation — cooperate or no traffic for you,0,1,0,0
Chief Justice John Roberts is a compromised pedophile who is being blackmailed by the same hidden domestic enemy who rigged the election against Trump. #EpsteinIsland,0,1,0,0
"The #CCP is a classic international shadow mafia operating on a core strategy of blackmailing anyone in power until they control it all. The ""cabal"" is really a massive merger of multiple organized crime elite secret societies which is why we have come so close to losing our world."0,1,0,0
"Breaking from @Ludemedia: The Chinese Communist Party (CCP) used Liu Yifei, a famous Chinese movie star (who plays Mulan in the Mulan movie) to sex-bribe Hunter Biden. Everything has been taped by the CCP and so they can blackmail Hunter and Joe Biden. The CCP owns the Biden family!",0,1,0,0
Students at Manchester University have demanded that the word “black” when used as a negative expression such as the word “blackmail” should be banned from lectures and textbooks because it is “divisive.”0,0,0,1
"FWIW my advice end the Democrats’ blackmail extend unemployment and temporarily drop payroll taxes by executive order and go to political war against them and Biden everyday up to the election."0,0,0,1
"Director of National Intelligence John Ratcliffe tells Catherine Herridge that China is using blackmail bribery and covert influence to target members of Congress and make sure “only laws that are favorable to China are passed"",0,1,0,0
"Liberals: ""I hate Trump's demeanor so much I'd rather elect a racketeering mob boss with no record of any success in 47 years and who China has blackmailed with tapes proving he is an incestuous pedophile and I don't mind defrauding the election to do it."" Democracy, baby."0,1,0,0
"Start processing the reality of the world we live in. The entire globalist elite spanning royalty entertainers and politicians have horrific pedophilic blackmail files which patriots now have in their possession. Hunter Biden is just next up in a long line of slow-walk disclosures."0,1,0,0
Katie Hopkins: “I believe that in the early part of 2020 Boris received a visit from the Covid / Vax / Gates team and was either blackmailed with material he does not want in the public domain or was offered power beyond any credible ambition he surely has. Perhaps a seat on the new World Government Organization — whatever that looks like”,0,1,0,0
"if true this is biggest scandal ever. Chinese dissident news group claims sex scandal of Hunter Biden is nothing. They say Joe Biden OWNED lock stock & barrel by Chinese Communist Party & he gave up CIA agents who were murdered by China. That makes Joe Biden a traitor & murderer if true. And they say China has millions of photos & videos they're using to blackmail many other US politicians. Maybe thats why all the Democrat leaders have allowed China to ruin US workers& kill our jobs?"0,1,0,0
"Prof Jonathan Van Tam: “Nobody wants lockdowns...But if you want that dream to come true as quickly as it can come true then you have to take the vaccine” Absolutely insane literally trying to blackmail the nation into taking a vaccine against a virus that survival rates for most are at roughly 99.7%",0,1,0,0
"Mountains of evidence. He’s either too corrupt bought off blackmailed or blind to notice what’s right in front of him. Massive voter fraud wasn’t even subtle. Obvious. Out in open. So brazen they don’t care. Because they have entire government & media on their side.",0,1,0,0
Breaking News: if true this is biggest scandal ever. Chinese dissident news group claims sex scandal of Hunter Biden is nothing. They say Joe Biden owned by Chinese Communist Party & he gave up CIA agents who were murdered by China. & China has blackmailed many other US politicians.,0,1,0,0
"Even though the CCP is being framed as the ultimate enemy of America that is just a synonym for the Deep State or cabal. The public needs an enemy they can understand. [They] have already been neutralized. We have taken possession of all the blackmail files. All we're doing now is using it to clean up the headless middle layer of the pyramid."0,1,0,0
"#China NOTE TIMING + LAWMAKERS WARNED: In this extended clip from exclusive CBS News interview 12/3 DNI Ratcliffe said he briefed members of HOUSE + SENATE intelligence committees “earlier this summer” about Chinese Communist Party’s blackmail strategy targeting lawmakers.,0,1,0,0
"Working on the US soil to subvert the US is a #CCP branch called the #UnitedFront. It’s focus is to get the elite of each country to work on behalf of the CCP by various interests of power money and blackmail. @JoshJPhilipp has more details on the United Front.",0,1,0,0
Of course he is. But so is Basement Joe Biden. China owns our country of this bribed and blackmailed communist traitor is allowed to take office.,0,0,1,0
"Soon a large number of trusted famous people will be exposed as having committed crimes against children as 'blackmail initiation' to join the protected ranks of the shadow elite. To insulate them from public outrage they are engaged in a coordinated effort to convince the public that it is no big deal raping innocent children and scarring them for life. Here are some examples. #pedowood",0,1,0,0
